VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5UXTA6C0XM,Kitsap,Seabeck,WA,98380,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,35,267929112,POINT (-122.8728334 47.5798304),PUGET SOUND ENERGY INC,53035091301
5YJ3E1EB1J,Kitsap,Poulsbo,WA,98370,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23,475911439,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035091100
WP0AD2A73G,Snohomish,Bothell,WA,98012,2016,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,15,0,1,101971278,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052009
5YJ3E1EB5J,Kitsap,Bremerton,WA,98310,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23,474363746,POINT (-122.6231895 47.5930874),PUGET SOUND ENERGY INC,53035080200
1N4AZ1CP3K,King,Redmond,WA,98052,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,45,476346482,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032323
3FA6P0PU5F,Snohomish,Bothell,WA,98012,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,21,9620047,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061041704
5YJYGDEEXL,King,Renton,WA,98055,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,11,124565731,POINT (-122.2003346 47.4487206),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025805
5UXTS1C06M,King,Seattle,WA,98107,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,36,135327104,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004702
1N4AZ0CP0F,King,Bellevue,WA,98007,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,48,105509778,POINT (-122.1436732 47.6157551),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023300
5YJSA1E20H,King,Seattle,WA,98125,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,46,348605603,POINT (-122.30253 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000900
1G1FX6S03H,Kitsap,Port Orchard,WA,98366,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,26,176855283,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,53035092200
5YJ3E1EA5K,Snohomish,Lynnwood,WA,98087,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,21,110038288,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061041812
JTMAB3FV5R,Kitsap,Poulsbo,WA,98370,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,23,271853067,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090502
5YJSA1DPXC,Thurston,Olympia,WA,98502,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,22,188634442,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600
YV4H60LF5R,Yakima,Yakima,WA,98908,2024,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,14,267393759,POINT (-120.611068 46.596645),PACIFICORP,53077000402
5YJYGDEF8L,Snohomish,Edmonds,WA,98026,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,21,112172084,POINT (-122.338942 47.821454),PUGET SOUND ENERGY INC,53061050101
5YJ3E1EA6L,King,Duvall,WA,98019,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,45,107653255,POINT (-121.956372 47.735604),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032401
1C4RJXN64R,Thurston,Olympia,WA,98502,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,22,270975064,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011100
5YJSA1H28F,King,Bothell,WA,98011,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,1,162167414,POINT (-122.201408 47.754528),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021803
5YJ3E1EB7K,King,Seattle,WA,98115,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,46,305583925,POINT (-122.3008235 47.6862671),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002000
WAUTPBFF0G,Kitsap,Bainbridge Island,WA,98110,2016,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,23,148383448,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035090700
WVWKP7AU6G,Yakima,Tieton,WA,98947,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,0,14,477758340,POINT (-120.7482919 46.7020975),PACIFICORP,53077002900
5YJ3E1EB1J,King,Issaquah,WA,98027,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,5,271977282,POINT (-122.0402383 47.5276876),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032103
5YJSA1H26F,Kitsap,Poulsbo,WA,98370,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,23,247898661,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090201
1FT6W1EV9N,Yakima,Yakima,WA,98903,2022,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,219992020,POINT (-120.5807155 46.5654909),PACIFICORP,53077002803
KNDCC3LG7L,King,Kent,WA,98030,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,47,144196888,POINT (-122.1994204 47.3741045),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029508
5YJYGDEE2L,Snohomish,Lynnwood,WA,98036,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,1,183054350,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051916
KNDCC3LG5L,King,Seatac,WA,98198,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,33,144140664,POINT (-122.3145447 47.3984346),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028300
7SAYGDEE9P,Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,240434155,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052009
YV4H60DJ1R,Snohomish,Bothell,WA,98021,2024,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,1,269459816,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051918
7SAYGAEE7P,Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,245450600,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061051933
5YJXCAE2XJ,Snohomish,Bothell,WA,98021,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,1,474826075,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051914
5UXKT0C51G,Thurston,Olympia,WA,98512,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,35,326783089,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067012610
1N4AZ1CP0K,Kitsap,Bremerton,WA,98312,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,35,8795643,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035092102
5YJ3E1EB6J,King,Seattle,WA,98102,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,43,131570442,POINT (-122.3212726 47.6296532),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006600
5YJ3E1EB9J,Snohomish,Bothell,WA,98021,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,475286220,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051937
5YJ3E1EB3K,Snohomish,Lynnwood,WA,98087,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,21,478641796,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061041703
